"","Year","Month","State","Location","Food","Species","Ingredient","Serotype.Genotype","Illnesses","Hospitalizations","Fatalities","Status"
"298",1998,4,1,1,37,4,6,9,72,7,0,1
"299",1998,4,1,1,37,7,6,9,19,0,0,1
"300",1998,4,1,5,37,7,6,9,11,0,0,1
"301",1998,4,1,1,148,7,6,9,39,0,0,1
"302",1998,4,1,3,37,3,6,12,7,0.94752807538402,0,1
"303",1998,4,1,1,109,7,6,9,7,0,0,1
"304",1998,4,1,1,149,6,6,9,11,0,0,1
"305",1998,4,2,1,112,9,6,9,2,0.94752807538402,0,0
"306",1998,4,2,5,6,5,6,9,11,0.94752807538402,0,0
"307",1998,4,2,5,37,5,6,9,12,0.94752807538402,0,0
"308",1998,4,3,15,62,19,6,9,40,0.94752807538402,0.0217167160716587,1
"309",1998,4,3,1,110,3,6,9,2,0.94752807538402,0.0217167160716587,0
"310",1998,4,3,1,150,8,6,9,4,0,0,0
"311",1998,4,3,1,37,3,6,2,2,0,0,1
"312",1998,4,3,1,151,7,6,9,27,0,0,0
"313",1998,4,3,1,64,3,6,2,4,0,0,0
"314",1998,4,3,1,92,7,6,9,2,0,0,1
"315",1998,4,3,1,64,7,6,9,2,0,0,1
"316",1998,4,3,5,101,6,6,9,3,0,0,0
"317",1998,4,3,1,152,6,6,9,4,0,0,0
"318",1998,4,3,1,153,5,6,9,3,1,0,0
"319",1998,4,3,1,154,7,6,9,2,0,0,1
"320",1998,4,3,1,65,3,6,9,3,1,0,0
"321",1998,4,3,1,155,7,6,9,4,0,0,1
"322",1998,4,3,1,156,7,6,9,3,0,0,1
"323",1998,4,3,1,157,11,6,9,5,0,0,0
"324",1998,4,3,3,158,7,6,9,12,2,0,0
"325",1998,4,3,1,159,9,6,9,3,0,0,0
"326",1998,4,3,1,12,7,6,9,3,2,0,1
"327",1998,4,3,1,160,8,6,9,3,0,0,0
"328",1998,4,3,1,37,6,6,9,6,0,0,0
"329",1998,4,3,1,161,9,6,9,2,0,0,0
"330",1998,4,3,1,17,7,6,9,2,0,0,1
"331",1998,4,3,1,162,7,6,9,2,0,0,1
"332",1998,4,3,1,17,7,6,9,2,0,0,1
"333",1998,4,32,1,6,19,6,9,51,0.94752807538402,0.0217167160716587,1
"334",1998,4,5,1,37,7,6,9,19,0,0,1
"335",1998,4,5,3,163,12,6,9,5,0,0,1
"336",1998,4,6,7,37,3,6,11,46,1,0,1
