"","Year","Illnesses","Hospitalizations","Fatalities","status","location","food","species","month","state","ingredient","serotype.Genotype"
"364",1998,18,0,0,1,1,175,7,4,10,6,9
"365",1998,15,0,0,1,1,176,7,4,10,6,9
"366",1998,18,0,0,0,9,NA,20,4,11,6,9
"367",1998,14,0,0,1,7,37,7,4,11,6,9
"368",1998,5,0,0,0,1,10,9,4,11,6,9
"369",1998,209,47,NA,1,NA,177,3,4,12,5,13
"370",1998,12,0,0,0,16,178,6,4,13,6,9
"371",1998,5,2,0,1,1,151,21,4,13,6,9
"372",1998,18,0,0,0,1,179,6,4,13,6,9
"373",1998,16,0,0,1,1,142,7,4,13,6,9
"374",1998,12,NA,NA,1,16,NA,7,4,13,6,9
"375",1998,2,0,0,1,1,NA,7,4,15,6,9
"376",1998,2,0,0,1,1,NA,7,4,15,6,9
"377",1998,4,0,0,1,1,180,7,4,15,6,9
"378",1998,5,0,0,1,1,42,7,4,15,6,9
"379",1998,2,0,0,1,1,181,9,4,15,6,9
"380",1998,3,0,0,1,1,NA,7,4,15,6,9
"381",1998,4,1,0,1,1,NA,7,4,15,6,9
"382",1998,800,4,0,1,1,182,7,4,15,6,9
"383",1998,2,0,0,1,1,183,7,4,15,6,9
"384",1998,4,NA,0,1,1,184,7,4,15,6,9
"385",1998,2,0,0,1,1,185,7,4,15,6,9
"386",1998,16,0,0,1,1,186,7,4,16,6,9
"387",1998,20,0,0,1,5,NA,7,4,17,6,9
"388",1998,3,NA,NA,1,1,NA,6,4,17,6,9
"389",1998,5,0,0,1,NA,NA,7,4,17,6,9
"390",1998,21,0,0,1,1,187,7,4,17,6,9
"391",1998,18,NA,NA,0,1,NA,22,4,18,6,9
"392",1998,15,NA,NA,1,NA,188,7,4,18,6,9
"393",1998,2,NA,NA,1,NA,NA,7,4,18,6,9
"394",1998,22,2,0,1,1,189,3,4,31,6,2
"395",1998,6,NA,NA,1,NA,147,2,4,19,6,9
"396",1998,67,NA,NA,1,NA,6,7,4,19,6,9
"397",1998,9,NA,0,1,5,190,3,4,19,6,11
"398",1998,27,NA,NA,1,10,37,7,4,20,6,9
"399",1998,3,0,0,1,3,191,23,4,20,6,9
"400",1998,2,0,0,1,1,NA,7,4,20,6,9
"401",1998,2,0,0,1,1,NA,7,4,20,6,9
"402",1998,8,0,0,1,1,NA,7,4,20,6,9
"403",1998,5,0,0,1,NA,192,7,4,20,6,9
"404",1998,22,1,0,1,1,NA,7,4,21,6,9
"405",1998,13,0,0,1,NA,NA,7,4,21,6,9
"406",1998,38,NA,NA,0,5,NA,5,5,1,6,9
"407",1998,100,NA,NA,1,1,193,7,5,1,6,9
"408",1998,40,NA,NA,1,NA,NA,7,5,1,6,9
"409",1998,6,3,0,1,NA,NA,3,5,1,6,14
"410",1998,31,0,0,1,NA,NA,7,5,1,6,9
"411",1998,6,0,0,1,NA,NA,7,5,1,6,9
"412",1998,13,0,0,1,3,NA,7,5,1,6,9
"413",1998,8,0,0,1,3,194,12,5,1,6,9
"414",1998,3,1,0,1,1,NA,24,5,1,6,15
"415",1998,30,0,0,1,3,195,7,5,1,6,9
"416",1998,10,0,0,1,3,NA,7,5,1,6,9
"417",1998,16,0,0,1,5,NA,7,5,1,6,9
"418",1998,15,0,0,1,3,NA,7,5,1,6,9
"419",1998,16,0,0,1,3,195,7,5,1,6,9
"420",1998,61,0,0,1,1,NA,7,5,1,6,9
"421",1998,5,0,0,1,1,191,7,5,1,6,9
"422",1998,6,NA,NA,0,1,196,5,5,2,6,9
"423",1998,2,0,0,0,1,NA,6,5,3,6,9
"424",1998,3,0,0,1,1,44,7,5,3,6,9
"425",1998,3,0,0,1,1,42,7,5,3,6,9
"426",1998,5,NA,NA,0,1,37,6,5,3,6,9
"427",1998,3,0,0,0,1,6,3,5,3,6,9
"428",1998,23,0,0,0,1,151,7,5,3,6,9
"429",1998,7,0,0,1,1,91,7,5,3,6,9
"430",1998,2,0,0,1,1,197,7,5,3,6,9
"431",1998,3,0,0,1,1,91,7,5,3,6,9
"432",1998,3,0,0,1,1,34,7,5,3,6,9
"433",1998,3,0,0,1,1,198,7,5,3,6,9
"434",1998,2,0,0,1,1,185,7,5,3,6,9
"435",1998,2,0,0,1,1,199,7,5,3,6,9
"436",1998,2,0,0,1,1,200,7,5,3,6,9
"437",1998,2,0,0,0,1,29,8,5,3,6,9
"438",1998,2,0,0,0,1,201,9,5,3,6,9
"439",1998,2,0,0,0,1,202,6,5,3,6,9
"440",1998,2,2,0,1,1,16,7,5,3,6,9
"441",1998,2,2,2,1,1,10,7,5,3,6,9
"442",1998,7,0,0,0,1,203,9,5,3,6,9
"443",1998,2,0,0,0,1,204,8,5,3,6,9
"444",1998,3,0,0,1,1,65,7,5,3,6,9
"445",1998,3,0,0,0,1,15,8,5,3,6,9
"446",1998,2,0,0,1,1,91,7,5,3,6,9
"447",1998,2,0,0,1,1,205,7,5,3,6,9
"448",1998,2,0,0,1,1,74,7,5,3,6,9
"449",1998,2,0,0,1,1,147,7,5,3,6,9
"450",1998,8,0,0,1,1,109,7,5,3,6,9
"451",1998,2,0,0,0,NA,206,6,5,3,6,9
"452",1998,2,0,0,0,1,207,8,5,3,6,9
"453",1998,3,1,0,1,1,6,7,5,3,6,9
"454",1998,4,0,0,1,NA,185,9,5,3,6,9
"455",1998,6,4,0,1,3,208,12,5,3,6,9
"456",1998,18,0,0,1,1,6,7,5,3,6,9
"457",1998,7,0,0,1,1,209,11,5,3,6,9
"458",1998,17,NA,NA,1,NA,NA,25,5,32,6,9
"459",1998,27,0,0,1,NA,NA,7,5,32,6,9
"460",1998,2,0,0,1,3,210,12,5,5,6,9
"461",1998,15,0,0,1,1,211,8,5,5,6,9
"462",1998,2,0,0,1,1,212,2,5,5,6,9
"463",1998,15,1,0,1,1,NA,7,5,6,6,9
"464",1998,32,NA,NA,1,1,213,7,5,6,6,9
"465",1998,25,5,0,1,NA,NA,3,5,6,6,16
"466",1998,25,0,0,1,1,214,7,5,6,6,9
"467",1998,36,0,0,1,1,NA,7,5,6,6,9
"468",1998,13,0,0,1,1,215,7,5,6,6,9
"469",1998,10,7,0,1,1,NA,3,5,7,6,17
"470",1998,27,6,0,1,1,120,24,5,7,6,15
"471",1998,51,0,0,1,1,59,19,5,33,6,18
"472",1998,4,0,0,1,1,NA,7,5,34,6,9
"473",1998,5,0,0,1,1,NA,7,5,34,6,9
"474",1998,30,NA,NA,1,NA,216,8,5,36,6,9
